# ----------------------------------------
# Cage Code Site Data
# Network
# 20160401-20180407
# ----------------------------------------

Service Provider,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
(not set),"17,470","16,871","27,868",22.10%,3.37,00:03:22,0.00%,0,$0.00
time warner cable internet llc,"9,999","9,678","24,836",17.79%,3.41,00:03:42,0.00%,0,$0.00
navy network information center (nnic),"9,078","8,935","21,937",15.24%,3.47,00:04:03,0.00%,0,$0.00
the boeing company,"5,712","5,685","13,690",12.49%,3.64,00:04:02,0.00%,0,$0.00
comcast cable communications llc,"5,444","5,139","12,704",16.22%,3.32,00:03:21,0.00%,0,$0.00
lockheed martin corporation,"5,377","4,662","13,884",19.50%,3.33,00:04:57,0.00%,0,$0.00
mci communications services inc. d/b/a verizon business,"5,048","4,864","10,431",20.85%,3.45,00:04:09,0.00%,0,$0.00
raytheon company,"4,504","4,566","12,502",11.76%,4.05,00:04:53,0.00%,0,$0.00
headquarters usaisc,"4,427","4,375","10,281",16.58%,3.84,00:05:13,0.00%,0,$0.00
northrop grumman corp.,"4,015","3,986","13,194",13.01%,3.74,00:04:52,0.00%,0,$0.00
cox communications inc.,"3,904","3,806","8,303",13.66%,3.38,00:03:46,0.00%,0,$0.00
dod network information center,"3,673","3,660","6,829",17.95%,3.39,00:03:19,0.00%,0,$0.00
cox communications,"3,519","3,426","8,903",22.70%,3.27,00:04:49,0.00%,0,$0.00
general electric company,"3,383","2,656","8,346",21.69%,3.32,00:05:30,0.00%,0,$0.00
charter communications,"3,083","3,056","6,411",18.23%,3.39,00:03:53,0.00%,0,$0.00
united technologies research center,"3,023","3,005","6,003",13.83%,3.51,00:03:13,0.00%,0,$0.00
l-3 communications corporation,"2,542","2,607","6,583",9.36%,3.98,00:04:38,0.00%,0,$0.00
tw telecom holdings inc.,"2,526","2,467","6,797",32.81%,3.31,00:04:12,0.00%,0,$0.00
national aeronautics and space administration,"2,489","2,454","5,494",12.58%,3.68,00:03:40,0.00%,0,$0.00
comcast cable communications holdings inc,"2,386","2,253","6,607",24.84%,2.91,00:03:13,0.00%,0,$0.00
comcast business communications llc,"2,148","2,103","6,816",37.21%,2.74,00:02:42,0.00%,0,$0.00
vitro corporation,"2,129","2,103","5,683",12.81%,3.51,00:04:40,0.00%,0,$0.00
zscaler inc.,"2,071","1,974","4,197",13.96%,3.60,00:03:49,0.00%,0,$0.00
honeywell international inc.,"1,823","1,817","4,239",12.81%,3.63,00:04:04,0.00%,0,$0.00
comcast ip services l.l.c.,"1,806","1,688","2,735",18.17%,3.22,00:03:06,0.00%,0,$0.00
comcast cable communications inc.,"1,682","1,584","3,322",22.31%,3.05,00:03:45,0.00%,0,$0.00
level 3 communications inc.,"1,589","1,562","2,692",14.26%,3.85,00:03:44,0.00%,0,$0.00
google inc.,"1,447","1,447","1,447",99.79%,1.00,<00:00:01,0.00%,0,$0.00
at&t internet services,"1,434","1,337","2,077",15.94%,3.24,00:02:38,0.00%,0,$0.00
ge drive systems,"1,418","1,396","2,664",14.64%,3.28,00:02:52,0.00%,0,$0.00
jsc er-telecom holding samara branch,"1,410","1,444","1,720",1.80%,2.01,00:01:14,0.00%,0,$0.00
japan network information center,"1,326","1,343","3,088",17.88%,3.78,00:04:01,0.00%,0,$0.00
qwest communications company llc,"1,322","1,273","2,656",17.62%,4.55,00:04:13,0.00%,0,$0.00
harris corporation,"1,268","1,243","3,772",12.17%,3.29,00:03:41,0.00%,0,$0.00
scansafe services llc,"1,247","1,204","2,308",14.04%,3.81,00:03:50,0.00%,0,$0.00
ftip003410998 avtrade ltd,"1,204","1,202","2,969",40.28%,1.92,00:03:19,0.00%,0,$0.00
textron financial corporation,"1,152","1,125","2,361",10.50%,3.29,00:02:55,0.00%,0,$0.00
bombardier incorporated,"1,151","1,096","3,661",13.22%,3.15,00:03:11,0.00%,0,$0.00
korea telecom,"1,091","1,078","2,476",13.65%,5.35,00:07:25,0.00%,0,$0.00
airbus defense and space gmbh,"1,048","1,031","2,215",16.57%,3.46,00:03:08,0.00%,0,$0.00
psinet inc.,962,913,"1,546",16.88%,3.81,00:03:23,0.00%,0,$0.00
verizon online llc,962,879,"1,997",19.38%,3.87,00:04:26,0.00%,0,$0.00
at&t mobility llc,900,830,"1,116",27.87%,2.67,00:01:54,0.00%,0,$0.00
rockwell collins inc.,896,881,"2,468",23.26%,3.82,00:05:24,0.00%,0,$0.00
general dynamics advanced information systems inc.,894,900,"3,182",8.58%,3.92,00:04:17,0.00%,0,$0.00
optimum online (cablevision systems),894,873,"1,928",33.25%,2.73,00:02:19,0.00%,0,$0.00
emirates telecommunications corporation,838,809,"3,241",24.47%,3.67,00:06:42,0.00%,0,$0.00
frontier communications of america inc.,831,813,"1,303",12.20%,3.37,00:02:48,0.00%,0,$0.00
alliant techsystems operations llc,818,797,"2,401",11.79%,3.91,00:04:23,0.00%,0,$0.00
drs technologies,813,793,"2,530",12.49%,3.81,00:05:05,0.00%,0,$0.00
computer sciences corporation,775,742,"1,757",12.12%,4.57,00:05:33,0.00%,0,$0.00
frontier communications corporation,742,708,"1,893",17.01%,4.90,00:05:08,0.00%,0,$0.00
deutsche telekom ag,707,691,"1,138",17.22%,3.36,00:03:22,0.00%,0,$0.00
general dynamics corporation land systems division,680,701,"1,737",11.40%,3.61,00:02:54,0.00%,0,$0.00
ibm d aviation industry services gmbh,631,615,"1,452",12.47%,4.71,00:04:41,0.00%,0,$0.00
industrie,607,611,992,21.47%,3.26,00:02:45,0.00%,0,$0.00
sympatico hse,571,548,"1,114",16.52%,3.16,00:02:48,0.00%,0,$0.00
xo communications,570,544,"1,286",14.07%,3.43,00:03:32,0.00%,0,$0.00
ipv4 address block not managed by the ripe ncc,544,479,969,19.50%,3.01,00:02:43,0.00%,0,$0.00
internet service provider,539,513,"1,760",21.08%,5.69,00:04:32,0.00%,0,$0.00
be aerospace inc.,523,515,"1,078",11.13%,3.36,00:02:41,0.00%,0,$0.00
saic,521,501,"1,408",17.61%,4.08,00:05:00,0.00%,0,$0.00
reist telecom gmbh,513,508,793,17.15%,3.79,00:03:21,0.00%,0,$0.00
bright house networks llc,505,491,"1,333",9.53%,3.44,00:03:18,0.00%,0,$0.00
embarq corporation,504,484,"1,019",15.60%,3.32,00:05:01,0.00%,0,$0.00
cellco partnership dba verizon wireless,497,432,634,20.98%,3.82,00:05:15,0.00%,0,$0.00
general atomics,491,480,"1,465",14.13%,3.59,00:04:03,0.00%,0,$0.00
windstream nuvox inc.,483,466,"1,187",16.85%,3.48,00:04:11,0.00%,0,$0.00
pratt & whitney canada inc,468,464,695,9.78%,4.25,00:03:36,0.00%,0,$0.00
suddenlink communications,451,448,654,17.58%,3.45,00:03:42,0.00%,0,$0.00
telus communications inc.,451,441,909,16.17%,3.45,00:03:28,0.00%,0,$0.00
integra telecom inc.,450,436,938,18.23%,3.81,00:05:21,0.00%,0,$0.00
new zealand defence forces,448,448,489,7.16%,3.44,00:04:15,0.00%,0,$0.00
ntt communications corporation,448,451,"1,699",15.60%,4.36,00:04:41,0.00%,0,$0.00
lg dacom corporation,445,425,873,17.07%,4.77,00:07:10,0.00%,0,$0.00
arteria networks corporation,433,421,"1,707",14.35%,8.15,00:06:10,0.00%,0,$0.00
taipei taiwan,432,421,"1,092",24.36%,3.74,00:05:19,0.00%,0,$0.00
delta air lines,428,425,834,9.35%,3.15,00:02:13,0.00%,0,$0.00
service provider corporation,424,389,536,24.63%,2.83,00:02:03,0.00%,0,$0.00
eaton corporation,418,412,888,15.43%,3.20,00:02:54,0.00%,0,$0.00
fuse internet access,414,398,789,13.43%,3.27,00:03:42,0.00%,0,$0.00
internet initiative japan inc.,408,412,"1,070",21.50%,3.80,00:05:58,0.00%,0,$0.00
at&t services inc.,403,378,765,17.52%,3.19,00:03:08,0.00%,0,$0.00
embraer - empresa brasileira de aeron utica sa,394,389,"1,001",12.69%,5.26,00:04:12,0.00%,0,$0.00
american airlines incorporated,391,365,788,14.09%,3.12,00:02:25,0.00%,0,$0.00
cbeyond communications llc,389,384,"1,272",34.28%,2.51,00:02:28,0.00%,0,$0.00
elron technologies,382,386,485,13.40%,4.80,00:04:56,0.00%,0,$0.00
windstream communications llc,371,339,682,17.74%,3.47,00:03:48,0.00%,0,$0.00
abts delhi,363,348,"1,033",36.01%,2.34,00:04:30,0.00%,0,$0.00
bombardier aeronautique,355,317,678,9.59%,3.38,00:02:52,0.00%,0,$0.00
surfcontrol inc.,350,327,585,12.99%,5.22,00:06:32,0.00%,0,$0.00
amazon technologies inc.,346,342,658,47.26%,1.95,00:01:30,0.00%,0,$0.00
oshkosh corporation,344,341,"1,165",16.91%,3.53,00:04:53,0.00%,0,$0.00
klx aerospace solutions,334,314,"1,420",16.20%,3.03,00:02:38,0.00%,0,$0.00
bright house networks - cfl division,322,320,535,18.50%,2.87,00:01:28,0.00%,0,$0.00
cobham advanced electronic solutions inc.,321,309,"1,087",10.76%,4.87,00:05:09,0.00%,0,$0.00
rolls-royce plc,318,324,446,7.40%,3.82,00:02:25,0.00%,0,$0.00
windstream communications inc,312,299,735,13.33%,3.46,00:03:06,0.00%,0,$0.00
sierra nevada corp.,311,304,857,14.12%,5.64,00:07:13,0.00%,0,$0.00
ip pools,305,274,641,19.19%,4.96,00:06:22,0.00%,0,$0.00
rolls-royce corporation,305,305,912,8.77%,3.68,00:04:29,0.00%,0,$0.00
telstra internet,303,301,870,17.13%,7.03,00:13:23,0.00%,0,$0.00
static ip services,296,294,569,18.63%,3.84,00:03:43,0.00%,0,$0.00
capgemini india pvt ltd,292,294,"1,132",17.05%,3.36,00:04:40,0.00%,0,$0.00
harris - digital telephone systems division,292,281,598,10.70%,3.54,00:04:09,0.00%,0,$0.00
videotron ltee,292,273,"1,177",12.49%,2.99,00:03:23,0.00%,0,$0.00
abts (karnataka),291,284,"2,778",50.90%,6.28,00:12:43,0.00%,0,$0.00
aerojet rocketdyne inc.,291,292,675,12.59%,3.37,00:03:26,0.00%,0,$0.00
shaw communications inc.,287,273,562,15.48%,2.96,00:02:48,0.00%,0,$0.00
blue coat systems inc,283,248,462,9.96%,3.22,00:03:09,0.00%,0,$0.00
tyco electronics corporation,282,286,427,16.39%,4.35,00:03:56,0.00%,0,$0.00
private customer,279,277,380,45.79%,4.20,00:04:22,0.00%,0,$0.00
754th electronic systems group,278,278,324,15.43%,3.28,00:01:54,0.00%,0,$0.00
xspedius communications co.,277,271,"1,058",23.82%,3.80,00:04:35,0.00%,0,$0.00
obs customer,275,273,"2,388",54.31%,2.14,00:04:54,0.00%,0,$0.00
gulfstream aerospace corporation,271,267,643,7.47%,3.31,00:02:41,0.00%,0,$0.00
alenia aermacchi s.p.a.,270,275,444,11.71%,4.79,00:05:21,0.00%,0,$0.00
cable one inc.,267,267,523,12.24%,3.52,00:03:03,0.00%,0,$0.00
sk broadband co ltd,267,245,577,19.24%,3.81,00:06:15,0.00%,0,$0.00
battelle memorial institute,266,264,585,8.55%,3.80,00:04:34,0.00%,0,$0.00
kratos defense security sys,265,257,960,9.27%,3.51,00:04:38,0.00%,0,$0.00
sprint,264,258,513,16.37%,3.45,00:03:52,0.00%,0,$0.00
infrastructure network dfw,260,245,"4,946",28.47%,5.38,00:21:01,0.00%,0,$0.00
federal aviation administration,256,256,634,10.25%,5.15,00:05:41,0.00%,0,$0.00
leidos inc.,252,251,719,13.77%,3.88,00:05:10,0.00%,0,$0.00
northrop grumman corporation,252,264,604,8.28%,3.68,00:03:14,0.00%,0,$0.00
thales australia,251,248,399,18.30%,3.95,00:04:34,0.00%,0,$0.00
ruag corporate services ag,247,244,540,12.78%,4.06,00:05:59,0.00%,0,$0.00
alliant techsystems inc.,244,213,618,9.87%,3.56,00:03:41,0.00%,0,$0.00
csc computer science us,243,241,398,13.07%,3.18,00:02:16,0.00%,0,$0.00
u.s. department of transportation,240,234,475,11.58%,3.51,00:03:24,0.00%,0,$0.00
wide open west,240,222,621,21.42%,3.48,00:05:23,0.00%,0,$0.00
singnet pte ltd,236,219,759,36.50%,2.97,00:03:00,0.00%,0,$0.00
superonline iletisim hizmetleri a.s.,236,217,778,26.61%,3.41,00:03:55,0.00%,0,$0.00
columbus networks colombia,234,222,"4,416",43.03%,2.36,00:04:44,0.00%,0,$0.00
liebherr-it services gmbh,224,231,445,14.38%,2.98,00:02:00,0.00%,0,$0.00
vicky diaz,224,224,365,4.66%,5.65,00:05:55,0.00%,0,$0.00
private customer - at&t internet services,223,218,557,19.93%,3.93,00:04:28,0.00%,0,$0.00
teledyne brown engineering,223,215,706,7.93%,3.58,00:03:42,0.00%,0,$0.00
chinanet guangdong province network,220,218,"1,046",26.86%,5.77,00:08:14,0.00%,0,$0.00
general atomic fusion user service center,220,196,548,22.45%,3.27,00:03:16,0.00%,0,$0.00
antaeus holdings inc.,219,218,412,8.98%,3.33,00:02:51,0.00%,0,$0.00
klm royal dutch airlines,218,218,741,31.71%,2.89,00:02:58,0.00%,0,$0.00
softbank corp.,218,226,"1,221",9.83%,3.58,00:04:52,0.00%,0,$0.00
efw inc.,217,217,304,21.05%,3.28,00:02:23,0.00%,0,$0.00
fastnet international ltd,217,211,"1,486",18.17%,3.83,00:04:11,0.00%,0,$0.00
a and m aerospace,215,215,505,34.06%,2.04,00:04:32,0.00%,0,$0.00
aerojet-general corp,214,211,"1,797",15.92%,3.10,00:03:59,0.00%,0,$0.00
rcn,211,204,267,20.97%,3.24,00:03:03,0.00%,0,$0.00
penteledata house account,209,204,531,15.07%,3.10,00:02:43,0.00%,0,$0.00
internet services,207,213,372,16.94%,3.21,00:02:39,0.00%,0,$0.00
t-mobile usa inc.,207,201,241,31.54%,2.51,00:01:46,0.00%,0,$0.00
fairpoint communications inc.,206,201,407,18.92%,3.10,00:03:18,0.00%,0,$0.00
industrie a ronautique,206,204,676,14.35%,3.34,00:02:42,0.00%,0,$0.00
saab ab,206,209,474,14.77%,4.08,00:04:32,0.00%,0,$0.00
mediacom communications corporation,204,197,348,9.77%,3.34,00:02:41,0.00%,0,$0.00
department of national defence,202,204,354,64.97%,1.75,00:02:49,0.00%,0,$0.00
single static ip addresses,201,202,300,21.33%,2.82,00:02:43,0.00%,0,$0.00
google llc,198,197,200,98.00%,1.02,<00:00:01,0.00%,0,$0.00
belcan corporation,197,196,498,17.27%,3.40,00:03:34,0.00%,0,$0.00
equinix singapore,197,202,493,17.24%,4.55,00:05:18,0.00%,0,$0.00
viasat inc.,193,193,269,18.96%,3.70,00:04:06,0.00%,0,$0.00
america west airlines,190,121,311,15.43%,3.14,00:02:58,0.00%,0,$0.00
wideopenwest finance llc,190,187,680,25.00%,3.53,00:07:25,0.00%,0,$0.00
sentech inc,189,185,309,14.89%,3.09,00:02:11,0.00%,0,$0.00
united launch alliance llc,187,179,445,11.24%,3.40,00:03:32,0.00%,0,$0.00
jiffybox servers,185,185,185,0.54%,2.62,00:00:21,0.00%,0,$0.00
virgin media limited,185,183,283,45.94%,2.36,00:02:14,0.00%,0,$0.00
cubic corporation,181,181,755,12.85%,3.20,00:04:00,0.00%,0,$0.00
bright house networks,180,166,432,13.66%,3.32,00:04:44,0.00%,0,$0.00
digital ocean inc.,176,172,248,82.66%,2.02,00:02:15,0.00%,0,$0.00
avnet inc.,175,168,900,33.89%,3.27,00:03:08,0.00%,0,$0.00
centurytel internet holdings inc.,174,171,219,17.35%,3.25,00:02:36,0.00%,0,$0.00
mediacom communications corp,172,162,254,23.62%,3.37,00:02:31,0.00%,0,$0.00
metrocast communications,172,158,290,15.86%,3.30,00:03:03,0.00%,0,$0.00
telstra,172,164,313,18.85%,4.14,00:05:01,0.00%,0,$0.00
armstrong cable services,168,167,188,15.96%,3.41,00:01:52,0.00%,0,$0.00
eads-casa,168,166,425,12.47%,4.55,00:03:29,0.00%,0,$0.00
general dynamics information technology inc.,168,162,236,9.75%,4.19,00:04:21,0.00%,0,$0.00
general dynamics armament systems corporation,167,164,290,10.34%,3.63,00:02:53,0.00%,0,$0.00
hughes network systems,166,160,184,47.28%,3.24,00:02:24,0.00%,0,$0.00
multiprotocol service provider to other isp s and end users,164,155,"1,076",31.13%,4.48,00:05:12,0.00%,0,$0.00
paetec communications inc.,164,159,213,16.43%,3.31,00:03:15,0.00%,0,$0.00
comcast cable communications,163,154,211,18.96%,2.91,00:01:44,0.00%,0,$0.00
tti inc.,163,164,180,16.67%,3.08,00:01:55,0.00%,0,$0.00
sandia national laboratories,160,164,307,14.33%,3.75,00:04:07,0.00%,0,$0.00
huntington ingalls incorporated,159,158,214,13.55%,3.13,00:02:28,0.00%,0,$0.00
tribridge,159,149,"2,796",48.43%,3.31,00:05:12,0.00%,0,$0.00
advanced information engineering services inc.,158,157,365,9.32%,3.92,00:05:28,0.00%,0,$0.00
emirates integrated telecommunications company pjsc (eitc-du),157,145,192,17.19%,3.86,00:02:44,0.00%,0,$0.00
knology inc.,157,153,714,9.80%,3.21,00:04:14,0.00%,0,$0.00
dynetics inc.,155,153,407,11.55%,3.11,00:03:23,0.00%,0,$0.00
operbes s.a. de c.v.,155,149,648,24.54%,2.65,00:03:18,0.00%,0,$0.00
kddi corporation,154,145,337,18.69%,2.85,00:02:58,0.00%,0,$0.00
telefonica de espana sau,151,142,596,14.43%,3.91,00:03:49,0.00%,0,$0.00
veterans trading company,151,150,"1,092",13.28%,3.60,00:06:34,0.00%,0,$0.00
brighthouse networks tampa division,150,149,492,25.00%,4.89,00:04:35,0.00%,0,$0.00
centurytel solutions llc,150,144,"1,238",16.48%,3.00,00:04:33,0.00%,0,$0.00
earthlink inc.,150,141,230,14.35%,3.59,00:02:29,0.00%,0,$0.00
oceaneering international inc.,150,141,487,13.76%,3.88,00:04:18,0.00%,0,$0.00
lufthansa systems gmbh,147,127,243,11.11%,3.28,00:03:28,0.00%,0,$0.00
tsi fuer eads deutschland gmbh,147,147,271,16.24%,3.78,00:03:57,0.00%,0,$0.00
university of texas at austin,147,144,772,44.95%,2.81,00:02:50,0.00%,0,$0.00
cae usa inc,145,144,335,15.82%,3.79,00:03:50,0.00%,0,$0.00
tikona digital networks pvt. ltd,145,144,234,16.67%,3.48,00:06:01,0.00%,0,$0.00
aviall,144,133,437,16.70%,11.48,00:11:01,0.00%,0,$0.00
bombardier aerospace,142,134,324,13.58%,3.51,00:03:22,0.00%,0,$0.00
j f taylor,142,141,682,13.64%,4.19,00:06:57,0.00%,0,$0.00
learjet inc,142,140,257,8.17%,2.94,00:01:44,0.00%,0,$0.00
pattonair usa inc,142,140,412,16.50%,3.25,00:03:49,0.00%,0,$0.00
sierra neveda corp,142,141,852,13.38%,2.89,00:03:38,0.00%,0,$0.00
cae electronics,141,136,658,16.41%,8.55,00:14:59,0.00%,0,$0.00
atlantic broadband finance llc,140,137,214,12.15%,3.93,00:04:56,0.00%,0,$0.00
comcast cable communications ip services,140,136,177,18.64%,3.01,00:01:41,0.00%,0,$0.00
eastlink hsi,140,133,277,14.44%,3.93,00:04:38,0.00%,0,$0.00
pilatus aircraft ltd,137,140,354,14.12%,4.29,00:04:31,0.00%,0,$0.00
wayport inc.,136,106,151,24.50%,2.66,00:01:16,0.00%,0,$0.00
yulista management services inc.,134,130,420,10.95%,3.20,00:03:34,0.00%,0,$0.00
alion science and technology corporation,133,134,279,16.49%,5.01,00:06:11,0.00%,0,$0.00
ge medical systems societe en commandite simple,132,127,209,6.70%,4.67,00:04:37,0.00%,0,$0.00
uninet s.a. de c.v.,132,120,481,26.82%,3.45,00:04:32,0.00%,0,$0.00
united parcel service,130,128,274,14.23%,4.57,00:05:04,0.00%,0,$0.00
allstream corp.,129,127,181,18.78%,3.91,00:03:29,0.00%,0,$0.00
arrow electronics,128,121,214,14.02%,3.20,00:02:34,0.00%,0,$0.00
general services administration,128,125,258,11.24%,3.38,00:02:33,0.00%,0,$0.00
charles stark draper laboratory inc.,125,120,369,13.82%,3.88,00:05:20,0.00%,0,$0.00
hamilton partners,125,119,299,4.01%,4.21,00:04:34,0.00%,0,$0.00
orbital sciences corporation,125,111,197,10.15%,3.67,00:03:14,0.00%,0,$0.00
amazon.com inc.,124,119,133,65.41%,2.13,00:01:06,0.00%,0,$0.00
telepacific communications,124,115,382,9.69%,3.73,00:05:34,0.00%,0,$0.00
cerfnet,123,117,380,23.68%,3.29,00:03:36,0.00%,0,$0.00
the pennsylvania state university,123,116,385,11.43%,3.92,00:04:04,0.00%,0,$0.00
united states postal service.,123,121,286,18.53%,3.19,00:02:18,0.00%,0,$0.00
mga havacilik a.s.,121,107,"1,344",26.19%,2.07,00:02:19,0.00%,0,$0.00
te data,121,107,440,22.27%,2.86,00:03:58,0.00%,0,$0.00
consolidated communications inc.,120,116,230,13.48%,2.83,00:02:19,0.00%,0,$0.00
caci inc. federal,119,121,411,7.54%,4.52,00:05:54,0.00%,0,$0.00
tds telecom,119,119,202,17.33%,3.11,00:03:26,0.00%,0,$0.00
diehl aircabin gmbh,117,119,164,7.93%,3.48,00:02:53,0.00%,0,$0.00
forcepoint cloud uk,117,116,218,6.42%,4.14,00:03:17,0.00%,0,$0.00
at&t managed firewall services nb2,116,114,174,14.37%,3.02,00:02:56,0.00%,0,$0.00
claro s.a.,115,106,194,40.21%,2.40,00:02:00,0.00%,0,$0.00
telmex colombia s.a.,115,108,160,36.88%,2.65,00:02:24,0.00%,0,$0.00
krijgsmacht,111,115,149,42.95%,2.72,00:02:02,0.00%,0,$0.00
telecom italia s.p.a.,111,107,154,27.27%,3.30,00:03:17,0.00%,0,$0.00
tsi fuer airbus group s.a.s.,111,98,462,16.67%,6.04,00:05:50,0.00%,0,$0.00
turkcell internet,111,99,172,29.65%,2.93,00:02:26,0.00%,0,$0.00
013 netvision ltd,110,100,168,14.88%,3.85,00:04:19,0.00%,0,$0.00
gdc technics ltd,110,100,312,9.94%,3.18,00:02:37,0.00%,0,$0.00
hurricane electric inc.,110,89,162,46.91%,1.93,00:01:38,0.00%,0,$0.00
modnet internet,110,108,147,29.25%,3.21,00:02:42,0.00%,0,$0.00
insitu inc,108,108,200,13.50%,3.11,00:02:45,0.00%,0,$0.00
nv-iai-1,108,110,202,21.29%,3.64,00:03:56,0.00%,0,$0.00
red de servicios ip,108,103,181,16.02%,4.31,00:04:07,0.00%,0,$0.00
teledyne technologies incorporated,108,106,223,13.45%,3.23,00:02:02,0.00%,0,$0.00
labinal corinth tx,107,106,316,12.34%,3.70,00:04:53,0.00%,0,$0.00
ntt docomo inc.,107,104,247,22.27%,3.06,00:02:45,0.00%,0,$0.00
diehl informatik gmbh,106,106,134,18.66%,3.19,00:02:27,0.00%,0,$0.00
finmeccanica public subnet,106,107,172,12.21%,4.61,00:05:43,0.00%,0,$0.00
centro tecnico aeroespacial,104,106,279,13.62%,3.34,00:04:46,0.00%,0,$0.00
global crossing,104,95,190,13.68%,3.12,00:02:02,0.00%,0,$0.00
telef nica brasil s.a,104,95,176,28.98%,3.67,00:02:23,0.00%,0,$0.00
at&t mfs-nb 2.0-- mesa az - trial,103,98,352,11.93%,4.40,00:06:53,0.00%,0,$0.00
lan chile (lineas aereas de chile),103,100,227,20.70%,2.78,00:02:24,0.00%,0,$0.00
u.s. department of state,103,104,128,30.47%,2.61,00:01:31,0.00%,0,$0.00
bjg electronics,102,99,"1,847",27.88%,2.68,00:03:58,0.00%,0,$0.00
general communication inc.,102,102,117,18.80%,3.11,00:01:20,0.00%,0,$0.00
glenair,102,107,230,8.70%,3.29,00:03:02,0.00%,0,$0.00
google fiber inc.,102,99,232,15.09%,3.08,00:04:14,0.00%,0,$0.00
ibm mittelstand systeme gmbh,102,102,159,32.70%,2.72,00:02:32,0.00%,0,$0.00
triumph group inc.,102,102,206,9.71%,3.78,00:05:58,0.00%,0,$0.00
advanced decision systems,100,99,180,22.22%,5.05,00:04:51,0.00%,0,$0.00
bt infrastructure layer,100,100,582,5.15%,5.66,00:05:20,0.00%,0,$0.00
chinanet beijing province network,100,99,100,98.00%,1.10,00:00:04,0.00%,0,$0.00
ethio telecom,100,98,275,37.45%,2.20,00:01:38,0.00%,0,$0.00
iinet limited,100,94,144,27.08%,4.02,00:08:30,0.00%,0,$0.00
kuwait airways,100,99,337,26.71%,2.47,00:02:49,0.00%,0,$0.00
zscaler amsterdam ams2,100,85,381,41.21%,2.90,00:02:30,0.00%,0,$0.00
allied telecom group llc,99,99,111,22.52%,3.40,00:02:08,0.00%,0,$0.00
bellsouth.net inc.,99,97,194,17.01%,3.18,00:03:03,0.00%,0,$0.00
csc information services ltd,99,102,200,9.00%,4.17,00:04:17,0.00%,0,$0.00
fiberlight llc,99,99,211,19.91%,2.74,00:02:22,0.00%,0,$0.00
moog inc.,99,89,187,16.58%,4.51,00:04:39,0.00%,0,$0.00
navega.com el salvador,99,94,708,16.53%,2.42,00:03:15,0.00%,0,$0.00
pakistan international airlines,99,98,368,15.49%,5.93,00:06:37,0.00%,0,$0.00
pakistan telecommuication company limited,99,95,146,28.77%,3.11,00:04:27,0.00%,0,$0.00
shaw telecom g.p.,99,97,204,18.14%,3.57,00:03:54,0.00%,0,$0.00
thales service,99,100,172,12.21%,6.02,00:06:02,0.00%,0,$0.00
unical,99,85,"1,053",58.97%,1.63,00:02:26,0.00%,0,$0.00
fts dept of energy90doex,98,98,103,11.65%,3.21,00:03:02,0.00%,0,$0.00
tui infotec gmbh,98,97,209,2.39%,3.23,00:02:43,0.00%,0,$0.00
comcast cable communications inc,97,89,124,20.97%,3.21,00:02:06,0.00%,0,$0.00
customer nets,97,89,351,9.97%,4.60,00:03:05,0.00%,0,$0.00
department of veterans affairs,97,97,102,30.39%,2.91,00:01:22,0.00%,0,$0.00
fibrenoire inc.,97,87,684,19.59%,2.38,00:02:16,0.00%,0,$0.00
singapore airlines limited,97,98,376,9.04%,3.78,00:02:12,0.00%,0,$0.00
tarmac aerosave,97,95,564,19.68%,2.67,00:03:54,0.00%,0,$0.00
tmnst,97,81,146,34.93%,2.78,00:02:42,0.00%,0,$0.00
tpg internet pty ltd.,97,95,196,12.76%,6.25,00:10:03,0.00%,0,$0.00
vas aero services llc,97,97,643,27.06%,3.44,00:04:57,0.00%,0,$0.00
air canada,94,90,172,8.14%,3.54,00:04:41,0.00%,0,$0.00
century fasteners corporation,94,98,"1,877",30.15%,2.75,00:05:51,0.00%,0,$0.00
gesti n de direccionamiento uninet,94,80,137,34.31%,7.51,00:07:27,0.00%,0,$0.00
societe air france s.a.,94,93,136,16.18%,5.35,00:04:51,0.00%,0,$0.00
computer sciences corp - ntis,93,93,167,17.96%,5.58,00:10:48,0.00%,0,$0.00
hutchison global communications,93,91,"1,324",27.57%,2.60,00:04:05,0.00%,0,$0.00
jab wireless inc.,93,90,100,21.00%,2.53,00:00:59,0.00%,0,$0.00
nos comunicacoes s.a.,93,87,142,23.94%,3.39,00:05:06,0.00%,0,$0.00
sk telecom,93,87,175,26.86%,3.97,00:04:09,0.00%,0,$0.00
southwest research institute,93,91,264,14.39%,5.95,00:08:57,0.00%,0,$0.00
curtiss-wright flow control service corp dba curtiss wright it,91,90,247,4.05%,4.89,00:05:40,0.00%,0,$0.00
honeywell technology solutions lab private limited,91,93,192,29.17%,2.94,00:02:22,0.00%,0,$0.00
symantec corporation,91,76,133,12.78%,3.42,00:03:06,0.00%,0,$0.00
tata teleservices isp,91,91,130,17.69%,3.96,00:03:08,0.00%,0,$0.00
babcock,90,94,162,20.99%,3.46,00:04:02,0.00%,0,$0.00
el al israel airlines ltd,90,90,"1,211",19.57%,8.15,00:18:30,0.00%,0,$0.00
intellectual integration,90,90,176,12.50%,3.76,00:04:29,0.00%,0,$0.00
navega.com s.a.,90,85,329,17.33%,2.28,00:02:02,0.00%,0,$0.00
vodafone portugal,90,89,211,19.91%,3.04,00:03:08,0.00%,0,$0.00
